Timestamp,Min Temp (°C),Max Temp (°C),Avg Temp (°C)
2025-05-14 07:05:10,32.03,52.55,45.71
2025-05-14 07:05:20,33.07,58.63,50.11
2025-05-14 07:05:30,34.05,64.90,54.62
2025-05-14 07:05:41,34.17,65.56,55.10
2025-05-14 07:05:51,33.09,58.82,50.24
2025-05-14 07:06:01,38.44,101.44,80.44
2025-05-14 07:06:11,37.90,91.73,73.79
2025-05-14 07:06:21,36.60,82.48,67.19
2025-05-14 07:06:31,35.17,74.20,61.19
2025-05-14 07:06:41,33.36,59.16,50.56
2025-05-14 07:06:51,32.54,54.84,47.41
2025-05-14 07:07:01,32.25,52.37,45.66
2025-05-14 07:07:11,32.09,49.34,43.59
2025-05-14 07:07:21,31.73,45.42,40.85
2025-05-14 07:07:31,31.29,42.29,38.62
2025-05-14 07:07:41,30.69,38.21,35.70
2025-05-14 07:07:51,31.03,39.00,36.34
2025-05-14 07:08:01,31.16,39.03,36.40
2025-05-14 07:08:11,30.64,38.20,35.68
2025-05-14 07:08:21,30.74,37.74,35.41
2025-05-14 07:08:31,30.45,36.82,34.70
2025-05-14 07:08:41,30.33,36.12,34.19
2025-05-14 07:08:51,30.27,36.13,34.18
2025-05-14 07:09:01,30.74,35.94,34.21
2025-05-14 07:09:11,30.88,38.56,36.00
2025-05-14 07:09:21,30.63,38.38,35.80
2025-05-14 07:09:31,30.24,37.55,35.12
2025-05-14 07:09:41,30.47,38.22,35.64
2025-05-14 07:09:51,30.60,36.34,34.43
2025-05-14 07:10:01,30.28,34.94,33.39
2025-05-14 07:10:11,30.26,36.82,34.64
2025-05-14 07:10:21,30.44,36.39,34.41
2025-05-14 07:10:31,30.33,35.83,34.00
2025-05-14 07:10:41,30.26,35.80,33.95
2025-05-14 07:10:51,30.11,34.81,33.24
2025-05-14 07:11:01,30.41,34.43,33.09
2025-05-14 07:11:11,30.26,34.30,32.96
2025-05-14 07:11:21,30.34,34.43,33.07
2025-05-14 07:11:31,30.47,34.69,33.29
2025-05-14 07:11:41,30.10,35.00,33.37
2025-05-14 07:11:51,30.10,34.70,33.16
2025-05-14 07:12:01,30.12,34.61,33.11
2025-05-14 07:12:11,30.35,34.56,33.16
2025-05-14 07:12:21,30.05,34.50,33.02
2025-05-14 07:12:31,30.10,34.55,33.06
2025-05-14 07:12:41,30.30,34.70,33.23
2025-05-14 07:12:51,30.15,34.61,33.12
2025-05-14 07:13:01,30.09,34.23,32.85
2025-05-14 07:13:11,30.17,34.43,33.01
2025-05-14 07:13:21,30.23,34.26,32.91
2025-05-14 07:13:31,30.18,34.60,33.13
2025-05-14 07:13:41,30.18,34.34,32.95
2025-05-14 07:13:51,29.97,33.93,32.61
2025-05-14 07:14:01,29.95,33.95,32.62
2025-05-14 07:14:11,29.87,34.15,32.72
2025-05-14 07:14:21,30.01,34.35,32.90
2025-05-14 07:14:31,30.06,34.51,33.02
2025-05-14 07:14:41,30.06,34.50,33.02
