2025-05-13 10:57:31,35.61,51.77,46.38
2025-05-13 10:57:41,34.59,45.43,41.82
2025-05-13 10:57:51,34.52,42.35,39.74
2025-05-13 10:58:01,34.48,41.47,39.14
2025-05-13 10:58:11,34.43,41.32,39.02
2025-05-13 10:58:21,35.00,43.93,40.96
2025-05-13 10:58:32,34.54,42.07,39.56
2025-05-13 10:58:42,35.11,45.23,41.86
2025-05-13 10:58:52,34.50,43.18,40.29
2025-05-13 10:59:02,34.66,42.62,39.97
2025-05-13 10:59:12,34.90,45.45,41.93
2025-05-13 10:59:22,35.32,46.41,42.72
2025-05-13 10:59:32,34.54,45.53,41.86
2025-05-13 10:59:42,34.80,42.23,39.76
2025-05-13 10:59:52,34.59,41.52,39.21
2025-05-13 11:00:02,34.16,41.99,39.38
2025-05-13 11:00:12,34.56,43.28,40.37
2025-05-13 11:00:22,34.49,43.55,40.53
2025-05-13 11:00:32,34.70,43.31,40.44
2025-05-13 11:00:42,34.53,42.13,39.59
2025-05-13 11:00:52,34.76,42.31,39.80
2025-05-13 11:01:02,34.45,41.91,39.43
2025-05-13 11:01:12,34.55,41.97,39.50
2025-05-13 11:01:22,34.86,42.24,39.78
2025-05-13 11:01:32,34.78,41.88,39.51
2025-05-13 11:01:42,34.75,43.99,40.91
2025-05-13 11:01:52,34.77,43.89,40.85
2025-05-13 11:02:02,34.93,42.46,39.95
2025-05-13 11:02:12,34.86,44.03,40.97
2025-05-13 11:02:22,34.60,42.01,39.54
2025-05-13 11:02:32,34.97,43.06,40.36
2025-05-13 11:02:42,34.97,42.12,39.73
2025-05-13 11:02:52,34.79,41.57,39.31
2025-05-13 11:03:02,34.53,41.13,38.93
2025-05-13 11:03:12,34.97,44.51,41.33
2025-05-13 11:03:22,34.59,42.49,39.85
2025-05-13 11:03:32,34.78,41.68,39.38
2025-05-13 11:03:42,34.72,41.69,39.37
2025-05-13 11:03:52,34.58,42.31,39.73
2025-05-13 11:04:02,34.84,41.65,39.38
2025-05-13 11:04:12,34.67,42.76,40.06
2025-05-13 11:04:22,34.53,41.92,39.46
2025-05-13 11:04:32,34.40,41.46,39.10
2025-05-13 11:04:42,34.29,41.75,39.26
2025-05-13 11:04:52,34.73,42.22,39.72
2025-05-13 11:05:02,34.68,43.01,40.23
2025-05-13 11:05:12,34.32,41.81,39.31
2025-05-13 11:05:22,34.39,40.57,38.51
2025-05-13 11:05:32,34.57,42.03,39.54
2025-05-13 11:05:42,34.55,41.46,39.16
2025-05-13 11:05:52,34.49,43.04,40.19
2025-05-13 11:06:02,34.67,42.03,39.58
2025-05-13 11:06:12,35.19,43.55,40.77
2025-05-13 11:06:22,34.75,42.95,40.22
2025-05-13 11:06:32,34.65,41.20,39.01
2025-05-13 11:06:42,34.63,42.23,39.70
2025-05-13 11:06:52,34.48,42.60,39.90
2025-05-13 11:07:02,34.54,40.87,38.76
2025-05-13 11:07:12,34.60,41.42,39.14
2025-05-13 11:07:22,34.62,42.05,39.57
2025-05-13 11:07:32,34.38,41.49,39.12
2025-05-13 11:07:42,34.94,42.78,40.16
2025-05-13 11:07:52,34.91,45.19,41.76
2025-05-13 11:08:02,34.69,46.55,42.60
2025-05-13 11:08:12,35.36,47.09,43.18
2025-05-13 11:08:22,35.51,48.81,44.38
2025-05-13 11:08:32,35.78,51.31,46.13
2025-05-13 11:08:42,35.65,50.79,45.74
2025-05-13 11:08:52,35.51,50.58,45.56
2025-05-13 11:09:02,35.57,49.93,45.14
2025-05-13 11:09:12,35.47,48.72,44.30
