Timestamp,Min Temp (°C),Max Temp (°C),Avg Temp (°C)
2025-05-25 07:05:04,46.25,83.12,70.83
2025-05-25 07:05:14,39.34,68.70,58.91
2025-05-25 07:05:24,35.98,65.20,55.46
2025-05-25 07:05:34,40.07,75.34,63.59
2025-05-25 07:05:44,38.75,68.52,58.59
2025-05-25 07:05:54,42.67,63.12,56.30
2025-05-25 07:06:04,40.37,59.17,52.90
2025-05-25 07:06:14,34.47,56.23,48.98
2025-05-25 07:06:24,33.19,43.95,40.37
2025-05-25 07:06:34,30.99,49.55,43.36
2025-05-25 07:06:44,32.43,58.33,49.69
2025-05-25 07:06:54,33.16,63.66,53.49
2025-05-25 07:07:04,32.65,57.22,49.03
2025-05-25 07:07:14,32.57,61.02,51.54
2025-05-25 07:07:24,33.82,46.39,42.20
2025-05-25 07:07:34,32.26,52.57,45.80
2025-05-25 07:07:44,35.65,81.53,66.23
2025-05-25 07:07:54,42.83,69.16,60.38
2025-05-25 07:08:04,35.98,67.88,57.25
2025-05-25 07:08:14,33.55,61.86,52.42
2025-05-25 07:08:24,32.10,48.48,43.02
2025-05-25 07:08:34,31.86,48.40,42.89
2025-05-25 07:08:44,31.60,49.52,43.55
2025-05-25 07:08:54,32.23,46.27,41.59
2025-05-25 07:09:04,31.61,47.44,42.16
2025-05-25 07:09:14,31.26,45.34,40.64
2025-05-25 07:09:24,31.78,49.53,43.61
2025-05-25 07:09:34,31.79,49.43,43.55
2025-05-25 07:09:44,32.22,49.59,43.80
2025-05-25 07:09:54,33.68,52.01,45.90
2025-05-25 07:10:04,32.25,52.73,45.91
2025-05-25 07:10:14,32.10,49.45,43.67
2025-05-25 07:10:24,37.80,73.08,61.32
2025-05-25 07:10:34,41.28,115.24,90.58
2025-05-25 07:10:44,37.98,64.75,55.82
2025-05-25 07:10:54,35.88,63.64,54.39
2025-05-25 07:11:04,41.00,72.18,61.78
2025-05-25 07:11:14,37.98,72.94,61.28
2025-05-25 07:11:24,34.89,67.98,56.95
2025-05-25 07:11:34,44.44,81.93,69.43
2025-05-25 07:11:44,34.20,67.91,56.67
2025-05-25 07:11:54,45.51,75.70,65.64
2025-05-25 07:12:04,33.65,47.65,42.98
2025-05-25 07:12:14,32.86,45.46,41.26
2025-05-25 07:12:24,36.32,70.70,59.24
2025-05-25 07:12:34,35.60,54.97,48.51
2025-05-25 07:12:44,37.56,62.79,54.38
2025-05-25 07:12:54,34.91,52.34,46.53
2025-05-25 07:13:04,36.68,62.60,53.96
2025-05-25 07:13:14,32.95,54.32,47.20
2025-05-25 07:13:24,34.19,50.09,44.79
2025-05-25 07:13:34,36.94,87.97,70.96
2025-05-25 07:13:44,39.10,65.07,56.42
2025-05-25 07:13:54,38.29,58.58,51.82
2025-05-25 07:14:04,34.83,54.46,47.92
2025-05-25 07:14:14,36.21,61.47,53.05
2025-05-25 07:14:24,39.46,60.55,53.52
2025-05-25 07:14:34,34.93,54.30,47.84
2025-05-25 07:14:44,32.94,46.03,41.67
2025-05-25 07:14:55,39.67,103.78,82.41
2025-05-25 07:15:05,34.13,66.15,55.48
2025-05-25 07:15:15,33.24,52.33,45.97
2025-05-25 07:15:25,33.52,48.78,43.70
2025-05-25 07:15:35,35.76,55.30,48.79
2025-05-25 07:15:45,42.34,69.31,60.32
2025-05-25 07:15:55,42.44,64.03,56.84
2025-05-25 07:16:05,36.63,54.05,48.24
2025-05-25 07:16:15,34.58,50.26,45.03
2025-05-25 07:16:25,37.36,57.60,50.85
2025-05-25 07:16:35,38.95,57.06,51.02
2025-05-25 07:16:45,36.18,52.87,47.31
2025-05-25 07:16:55,37.13,58.72,51.53
2025-05-25 07:17:05,35.22,54.35,47.97
2025-05-25 07:17:15,34.43,59.24,50.97
2025-05-25 07:17:25,38.36,58.10,51.52
2025-05-25 07:17:35,35.58,62.87,53.77
2025-05-25 07:17:45,40.03,56.96,51.32
2025-05-25 07:17:55,35.19,53.86,47.64
2025-05-25 07:18:05,34.65,55.02,48.23
2025-05-25 07:18:15,38.44,52.03,47.50
2025-05-25 07:18:25,38.24,51.48,47.06
2025-05-25 07:18:35,33.43,55.37,48.05
2025-05-25 07:18:45,40.55,55.74,50.67
2025-05-25 07:18:55,34.01,50.22,44.82
2025-05-25 07:19:05,34.70,66.22,55.71
2025-05-25 07:19:15,32.85,53.01,46.29
2025-05-25 07:19:25,32.89,51.52,45.31
2025-05-25 07:19:35,32.81,52.83,46.16
2025-05-25 07:19:45,32.69,47.44,42.52
2025-05-25 07:19:55,31.33,45.15,40.54
2025-05-25 07:20:05,31.23,42.37,38.66
2025-05-25 07:20:15,30.92,40.57,37.35
2025-05-25 07:20:25,31.54,47.54,42.20
2025-05-25 07:20:35,33.74,64.26,54.09
2025-05-25 07:20:45,31.94,46.60,41.71
2025-05-25 07:20:55,32.47,49.95,44.12
2025-05-25 07:21:05,31.77,45.38,40.84
2025-05-25 07:21:15,31.60,45.36,40.78
2025-05-25 07:21:25,31.65,47.64,42.31
2025-05-25 07:21:35,33.09,59.06,50.40
2025-05-25 07:21:45,34.01,61.88,52.59
2025-05-25 07:21:55,31.85,47.15,42.05
2025-05-25 07:22:05,31.95,44.29,40.18
2025-05-25 07:22:15,32.18,45.31,40.93
2025-05-25 07:22:25,31.79,50.56,44.30
2025-05-25 07:22:35,32.65,51.40,45.15
2025-05-25 07:22:45,34.68,56.78,49.41
2025-05-25 07:22:55,32.75,47.87,42.83
2025-05-25 07:23:05,31.51,43.63,39.59
2025-05-25 07:23:15,32.97,51.00,44.99
2025-05-25 07:23:25,32.73,46.34,41.80
2025-05-25 07:23:35,31.28,42.43,38.71
2025-05-25 07:23:45,30.67,40.61,37.30
2025-05-25 07:23:55,30.32,40.09,36.84
2025-05-25 07:24:05,29.31,42.68,38.22
2025-05-25 07:24:15,30.20,38.44,35.69
2025-05-25 07:24:25,30.17,38.75,35.89
2025-05-25 07:24:35,30.55,42.12,38.26
2025-05-25 07:24:45,32.38,56.69,48.59
2025-05-25 07:24:55,33.47,60.58,51.55
2025-05-25 07:25:05,31.74,50.59,44.31
2025-05-25 07:25:15,30.88,40.65,37.39
2025-05-25 07:25:25,30.65,40.19,37.01
2025-05-25 07:25:35,31.35,45.27,40.63
2025-05-25 07:25:45,34.83,70.37,58.52
2025-05-25 07:25:55,34.08,62.24,52.85
2025-05-25 07:26:05,34.58,60.54,51.89
2025-05-25 07:26:15,34.37,54.83,48.01
2025-05-25 07:26:25,34.05,53.28,46.87
2025-05-25 07:26:35,38.45,59.51,52.49
2025-05-25 07:26:45,35.97,80.61,65.73
2025-05-25 07:26:56,38.65,55.99,50.21
2025-05-25 07:27:06,39.33,93.00,75.11
2025-05-25 07:27:16,34.57,52.29,46.39
