Timestamp,Min Temp (°C),Max Temp (°C),Avg Temp (°C)
2025-05-23 07:05:13,31.79,43.98,39.92
2025-05-23 07:05:23,31.55,41.74,38.34
2025-05-23 07:05:33,32.13,47.84,42.61
2025-05-23 07:05:43,32.11,47.02,42.05
2025-05-23 07:05:53,31.86,42.75,39.12
2025-05-23 07:06:03,31.33,40.99,37.77
2025-05-23 07:06:13,31.48,39.07,36.54
2025-05-23 07:06:23,31.86,41.98,38.61
2025-05-23 07:06:33,31.55,40.95,37.81
2025-05-23 07:06:43,32.39,48.93,43.42
2025-05-23 07:06:53,31.74,42.67,39.03
2025-05-23 07:07:03,31.34,40.11,37.19
2025-05-23 07:07:13,31.44,40.38,37.40
2025-05-23 07:07:23,31.51,39.95,37.14
2025-05-23 07:07:33,31.88,42.43,38.92
2025-05-23 07:07:43,31.92,44.52,40.32
2025-05-23 07:07:53,32.41,49.85,44.04
2025-05-23 07:08:03,31.88,43.23,39.45
2025-05-23 07:08:13,31.56,41.04,37.88
2025-05-23 07:08:23,31.68,42.86,39.13
2025-05-23 07:08:33,31.86,41.72,38.43
2025-05-23 07:08:43,31.66,42.54,38.91
2025-05-23 07:08:53,32.02,43.61,39.75
2025-05-23 07:09:03,31.78,40.62,37.67
2025-05-23 07:09:13,32.09,46.97,42.01
2025-05-23 07:09:23,32.24,45.57,41.13
2025-05-23 07:09:33,32.41,46.37,41.71
2025-05-23 07:09:43,32.96,49.27,43.83
2025-05-23 07:09:53,31.94,43.39,39.57
2025-05-23 07:10:03,31.77,41.58,38.31
2025-05-23 07:10:13,31.78,42.46,38.90
2025-05-23 07:10:23,31.91,43.91,39.91
2025-05-23 07:10:33,31.77,42.46,38.90
2025-05-23 07:10:43,31.98,43.70,39.79
2025-05-23 07:10:53,32.82,55.11,47.68
2025-05-23 07:11:03,32.04,46.17,41.46
2025-05-23 07:11:13,32.41,48.19,42.93
2025-05-23 07:11:23,31.95,45.46,40.96
2025-05-23 07:11:33,32.49,47.08,42.22
2025-05-23 07:11:43,32.70,50.26,44.40
2025-05-23 07:11:53,33.12,52.70,46.18
2025-05-23 07:12:03,33.27,53.52,46.77
2025-05-23 07:12:13,31.93,44.42,40.26
2025-05-23 07:12:23,32.35,46.22,41.59
2025-05-23 07:12:33,32.18,45.29,40.92
2025-05-23 07:12:43,31.95,42.08,38.70
2025-05-23 07:12:53,31.81,42.85,39.17
2025-05-23 07:13:03,31.93,42.43,38.93
2025-05-23 07:13:13,31.67,40.97,37.87
2025-05-23 07:13:23,31.60,40.81,37.74
2025-05-23 07:13:33,30.93,39.62,36.73
2025-05-23 07:13:43,31.05,40.02,37.03
2025-05-23 07:13:53,31.88,41.61,38.37
2025-05-23 07:14:03,31.59,40.02,37.21
2025-05-23 07:14:13,31.49,41.81,38.37
2025-05-23 07:14:23,31.96,42.74,39.14
2025-05-23 07:14:33,32.05,43.66,39.79
2025-05-23 07:14:43,32.16,43.71,39.86
2025-05-23 07:14:53,32.43,47.37,42.39
2025-05-23 07:15:03,32.13,47.43,42.33
2025-05-23 07:15:13,32.92,50.99,44.96
2025-05-23 07:15:23,31.87,42.13,38.71
2025-05-23 07:15:33,31.71,42.10,38.64
2025-05-23 07:15:43,31.23,40.85,37.65
2025-05-23 07:15:53,31.92,44.15,40.08
2025-05-23 07:16:04,31.90,44.27,40.15
2025-05-23 07:16:14,32.36,47.26,42.29
2025-05-23 07:16:24,32.17,45.20,40.85
2025-05-23 07:16:34,31.74,41.80,38.45
2025-05-23 07:16:44,31.85,42.90,39.22
2025-05-23 07:16:54,32.35,45.61,41.19
2025-05-23 07:17:04,32.20,45.25,40.90
2025-05-23 07:17:14,32.24,47.61,42.49
2025-05-23 07:17:24,31.45,40.44,37.45
2025-05-23 07:17:34,31.93,43.91,39.92
2025-05-23 07:17:44,32.35,47.25,42.28
2025-05-23 07:17:54,32.61,49.71,44.01
2025-05-23 07:18:04,33.34,55.75,48.28
2025-05-23 07:18:14,33.25,56.58,48.80
2025-05-23 07:18:24,32.26,49.33,43.64
2025-05-23 07:18:34,31.87,45.61,41.03
2025-05-23 07:18:44,31.91,44.18,40.09
2025-05-23 07:18:54,31.64,43.21,39.36
2025-05-23 07:19:04,32.32,46.32,41.65
2025-05-23 07:19:14,31.92,42.22,38.79
2025-05-23 07:19:24,31.74,42.02,38.59
2025-05-23 07:19:34,31.46,41.45,38.12
2025-05-23 07:19:44,31.59,40.76,37.71
2025-05-23 07:19:54,32.24,47.80,42.61
2025-05-23 07:20:04,32.25,47.44,42.38
2025-05-23 07:20:14,33.67,60.17,51.34
2025-05-23 07:20:24,31.78,44.79,40.45
2025-05-23 07:20:34,31.98,45.76,41.16
2025-05-23 07:20:44,33.11,57.50,49.37
2025-05-23 07:20:54,32.00,46.55,41.70
2025-05-23 07:21:04,32.45,50.45,44.45
2025-05-23 07:21:14,32.19,50.83,44.62
2025-05-23 07:21:24,32.24,46.81,41.96
2025-05-23 07:21:34,31.86,41.86,38.53
2025-05-23 07:21:44,32.56,47.87,42.77
2025-05-23 07:21:54,31.41,42.50,38.81
2025-05-23 07:22:04,31.35,40.05,37.15
2025-05-23 07:22:14,32.50,51.03,44.85
2025-05-23 07:22:24,32.35,47.99,42.78
2025-05-23 07:22:34,32.57,49.97,44.17
2025-05-23 07:22:44,31.94,44.30,40.18
2025-05-23 07:22:54,31.69,43.18,39.35
2025-05-23 07:23:04,31.92,44.83,40.53
2025-05-23 07:23:14,31.59,40.27,37.38
2025-05-23 07:23:24,31.53,40.51,37.52
2025-05-23 07:23:34,31.61,42.14,38.63
2025-05-23 07:23:44,31.50,41.34,38.06
2025-05-23 07:23:54,31.78,41.25,38.09
2025-05-23 07:24:04,32.34,49.53,43.80
2025-05-23 07:24:14,32.09,45.97,41.34
2025-05-23 07:24:24,32.11,44.82,40.59
2025-05-23 07:24:34,31.74,41.38,38.17
2025-05-23 07:24:44,31.62,40.74,37.70
2025-05-23 07:24:54,31.51,43.97,39.82
2025-05-23 07:25:04,31.41,42.20,38.61
2025-05-23 07:25:14,31.44,42.91,39.09
2025-05-23 07:25:24,31.54,41.05,37.88
2025-05-23 07:25:34,30.97,39.10,36.39
2025-05-23 07:25:44,31.57,41.65,38.29
2025-05-23 07:25:54,31.55,40.64,37.61
2025-05-23 07:26:04,31.57,40.66,37.63
2025-05-23 07:26:14,31.57,42.93,39.14
2025-05-23 07:26:24,31.11,38.15,35.80
2025-05-23 07:26:34,31.19,40.66,37.50
2025-05-23 07:26:44,31.16,40.35,37.29
2025-05-23 07:26:54,31.29,39.74,36.93
2025-05-23 07:27:04,31.37,39.29,36.65
2025-05-23 07:27:14,32.18,45.80,41.26
2025-05-23 07:27:24,31.55,39.67,36.96
2025-05-23 07:27:34,31.64,38.97,36.53
2025-05-23 07:27:44,31.71,40.03,37.26
2025-05-23 07:27:55,31.50,40.19,37.29
2025-05-23 07:28:05,31.59,41.84,38.42
2025-05-23 07:28:15,31.77,42.17,38.70
2025-05-23 07:28:25,31.47,38.89,36.41
2025-05-23 07:28:35,31.67,40.05,37.26
2025-05-23 07:28:45,31.38,39.65,36.89
2025-05-23 07:28:55,31.56,39.02,36.53
2025-05-23 07:29:05,31.56,39.33,36.74
2025-05-23 07:29:15,31.23,38.37,35.99
2025-05-23 07:29:25,31.44,40.38,37.40
2025-05-23 07:29:35,31.56,39.97,37.17
2025-05-23 07:29:45,31.21,38.47,36.05
2025-05-23 07:29:55,31.13,40.24,37.20
2025-05-23 07:30:05,31.64,45.19,40.67
2025-05-23 07:30:15,31.02,38.93,36.30
2025-05-23 07:30:25,31.17,38.87,36.30
2025-05-23 07:30:35,31.33,39.27,36.62
2025-05-23 07:30:45,31.16,39.65,36.82
2025-05-23 07:30:55,31.84,43.34,39.51
2025-05-23 07:31:05,31.31,41.32,37.98
2025-05-23 07:31:15,31.51,41.03,37.86
2025-05-23 07:31:25,29.90,42.12,38.05
2025-05-23 07:31:35,31.07,39.09,36.42
2025-05-23 07:31:45,31.37,39.30,36.66
2025-05-23 07:31:55,31.03,39.44,36.64
2025-05-23 07:32:05,31.49,41.03,37.85
2025-05-23 07:32:15,31.53,40.94,37.80
2025-05-23 07:32:25,31.03,40.07,37.05
2025-05-23 07:32:35,31.23,38.78,36.27
2025-05-23 07:32:45,31.61,41.62,38.28
2025-05-23 07:32:55,31.73,43.28,39.43
2025-05-23 07:33:05,32.11,46.17,41.48
2025-05-23 07:33:15,32.58,48.45,43.16
2025-05-23 07:33:25,31.50,39.62,36.92
2025-05-23 07:33:35,31.80,41.21,38.07
2025-05-23 07:33:45,31.67,45.06,40.59
2025-05-23 07:33:55,31.92,40.68,37.76
2025-05-23 07:34:05,32.00,41.50,38.33
2025-05-23 07:34:15,32.27,44.54,40.45
2025-05-23 07:34:25,31.84,41.92,38.56
2025-05-23 07:34:35,32.00,44.22,40.15
2025-05-23 07:34:45,31.36,39.46,36.76
2025-05-23 07:34:55,31.63,41.96,38.52
2025-05-23 07:35:05,31.44,40.35,37.38
