Timestamp,Min Temp (°C),Max Temp (°C),Avg Temp (°C)
2025-05-19 07:05:05,31.27,47.74,42.25
2025-05-19 07:05:15,30.73,43.03,38.93
2025-05-19 07:05:25,30.80,44.08,39.65
2025-05-19 07:05:35,30.79,45.20,40.40
2025-05-19 07:05:45,30.76,42.44,38.55
2025-05-19 07:05:55,30.50,39.54,36.53
2025-05-19 07:06:05,30.04,39.61,36.42
2025-05-19 07:06:15,30.00,37.85,35.23
2025-05-19 07:06:25,30.39,39.10,36.20
2025-05-19 07:06:35,30.77,40.52,37.27
2025-05-19 07:06:45,30.19,39.77,36.58
2025-05-19 07:06:55,30.11,38.21,35.51
2025-05-19 07:07:05,29.89,37.49,34.96
2025-05-19 07:07:15,29.94,36.64,34.41
2025-05-19 07:07:25,30.13,38.82,35.93
2025-05-19 07:07:35,30.26,38.53,35.77
2025-05-19 07:07:45,30.25,38.14,35.51
2025-05-19 07:07:55,30.41,39.00,36.14
2025-05-19 07:08:05,32.12,53.95,46.67
2025-05-19 07:08:15,32.47,56.14,48.25
2025-05-19 07:08:26,31.68,51.56,44.93
2025-05-19 07:08:36,30.83,40.67,37.39
2025-05-19 07:08:46,30.23,39.36,36.31
2025-05-19 07:08:56,30.36,38.23,35.61
2025-05-19 07:09:06,31.31,46.84,41.66
2025-05-19 07:09:16,31.29,45.41,40.70
2025-05-19 07:09:26,31.51,48.88,43.09
2025-05-19 07:09:36,31.22,44.59,40.13
2025-05-19 07:09:46,30.85,42.54,38.64
2025-05-19 07:09:56,31.25,42.72,38.89
2025-05-19 07:10:06,30.83,43.97,39.59
2025-05-19 07:10:16,30.94,43.76,39.48
2025-05-19 07:10:26,31.95,51.97,45.30
2025-05-19 07:10:36,33.07,61.11,51.76
2025-05-19 07:10:46,32.02,53.51,46.35
2025-05-19 07:10:56,31.31,44.70,40.23
2025-05-19 07:11:06,31.27,44.36,39.99
2025-05-19 07:11:16,31.31,46.26,41.28
2025-05-19 07:11:26,31.45,47.31,42.02
2025-05-19 07:11:36,31.66,51.03,44.57
2025-05-19 07:11:46,30.78,41.32,37.81
2025-05-19 07:11:56,31.43,45.27,40.66
2025-05-19 07:12:06,30.87,42.16,38.39
2025-05-19 07:12:16,30.51,38.82,36.05
2025-05-19 07:12:26,30.57,39.78,36.71
2025-05-19 07:12:36,30.75,42.93,38.87
